18:55:09.139 [TestNG-tests-2] INFO  com.petstore.stepDefinitions.PetDetails - User enter the home page
18:55:09.635 [TestNG-tests-3] INFO  com.petstore.stepDefinitions.PetDetails - User enter the home page
18:55:11.667 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enter the home page
18:55:39.459 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
18:55:41.039 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
18:55:44.718 [TestNG-tests-2] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
18:55:46.736 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - Validate user login successfully
18:55:47.734 [TestNG-tests-3] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
18:56:13.794 [TestNG-tests-3] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
18:56:16.683 [TestNG-tests-3] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
18:56:19.635 [TestNG-tests-2] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
18:56:44.923 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
18:56:45.744 [TestNG-tests-2] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
18:56:48.482 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
18:56:48.612 [TestNG-tests-2] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
18:56:49.785 [TestNG-tests-3] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
18:56:51.141 [TestNG-tests-3] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
18:56:52.118 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - Validate user login successfully
18:56:52.667 [TestNG-tests-2] INFO  com.petstore.stepDefinitions.PetDetails - Validate user login successfully
18:57:22.576 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - The user is on home page
18:57:25.528 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - Select the pet,Get the pet list and select the pet you like
18:57:54.734 [TestNG-tests-2] INFO  com.petstore.stepDefinitions.PetDetails - User is on the home page
18:57:57.376 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User is on the home page
18:58:25.693 [TestNG-tests-3] INFO  com.petstore.stepDefinitions.PetDetails - User is on the home page
18:59:48.373 [TestNG-tests-2] INFO  com.petstore.stepDefinitions.PetDetails - User enter the home page
18:59:50.650 [TestNG-tests-2] INFO  com.petstore.stepDefinitions.PetDetails - I verify the page title
19:00:08.702 [TestNG-tests-2] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
19:00:24.610 [TestNG-tests-2] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
19:00:37.377 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
19:02:24.504 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enter the home page
19:02:26.124 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - I verify the page title
19:02:37.688 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
19:02:39.182 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
19:02:43.671 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - Validate user login successfully
19:02:54.945 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
19:02:56.622 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
19:03:01.363 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - Validate user login successfully
19:03:12.825 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
19:03:14.438 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
19:03:18.033 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - Validate user login successfully
19:03:32.481 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - The user is on home page
19:03:34.048 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - Select the pet,Get the pet list and select the pet you like
19:03:37.975 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - Validating the product title, description, price, images, and availability.
19:03:40.456 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - Validate pet added products to the cart.
19:03:51.270 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User is on the home page
19:03:52.777 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
19:03:57.214 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enters personal details {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, and {string}
19:04:01.263 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enters profile details {string}, {string}, {string}, and {string}
19:04:04.793 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User is registered successfully
19:04:15.723 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User is on the home page
19:04:17.268 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
19:04:21.288 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enters personal details {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, and {string}
19:04:25.252 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enters profile details {string}, {string}, {string}, and {string}
19:04:28.535 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User is registered successfully
19:04:39.758 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User is on the home page
19:04:41.320 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
19:04:45.498 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enters personal details {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, and {string}
19:04:49.534 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enters profile details {string}, {string}, {string}, and {string}
19:04:52.782 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User is registered successfully
19:05:03.540 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User is on the home page
19:05:05.113 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
19:05:09.302 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enters personal details {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, and {string}
19:05:13.306 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enters profile details {string}, {string}, {string}, and {string}
19:05:16.774 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User is registered successfully
19:05:27.390 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User is on the home page
19:05:28.819 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
19:05:33.114 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enters personal details {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, and {string}
19:05:37.135 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enters profile details {string}, {string}, {string}, and {string}
19:05:40.443 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User is registered successfully
19:05:56.227 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - the user is on home page
19:05:57.771 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - user search for a {string}, get the pet list and select a pet
19:06:01.879 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - user validate the price of the pet
19:06:15.194 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - the user is on home page
19:06:16.892 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - user search for a {string}, get the pet list and select a pet
19:06:20.170 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - user validate the price of the pet
19:06:33.945 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - the user is on home page
19:06:35.446 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - user search for a {string}, get the pet list and select a pet
19:06:38.931 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - user validate the price of the pet
19:06:53.122 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - the user is on home page
19:06:54.818 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - user search for a {string}, get the pet list and select a pet
19:06:58.412 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - user validate the price of the pet
19:07:12.294 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - the user is on home page
19:07:13.953 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - user search for a {string}, get the pet list and select a pet
19:07:17.395 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - user validate the price of the pet
19:07:31.019 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - the user is on home page to buy pet
19:07:32.717 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - Open pet list
19:07:34.643 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - add pets to cart
19:07:52.030 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - remove and update quantities
19:07:55.652 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - validate proceeding to checkout
19:08:50.181 [TestNG-test=Edge Test-1] INFO  com.petstore.stepDefinitions.PetDetails - User enter the home page
19:08:51.850 [TestNG-test=Edge Test-1] INFO  com.petstore.stepDefinitions.PetDetails - I verify the page title
19:09:03.259 [TestNG-test=Edge Test-1] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
19:09:04.924 [TestNG-test=Edge Test-1] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
19:09:09.189 [TestNG-test=Edge Test-1] INFO  com.petstore.stepDefinitions.PetDetails - Validate user login successfully
19:10:38.998 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enter the home page
19:10:41.170 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - I verify the page title
19:10:44.660 [TestNG-tests-2] INFO  com.petstore.stepDefinitions.PetDetails - User enter the home page
19:10:57.106 [TestNG-tests-2] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
19:11:09.856 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
19:17:25.744 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User is on the home page
19:17:27.708 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
19:17:31.806 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enters personal details {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, and {string}
19:17:36.493 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enters profile details {string}, {string}, {string}, and {string}
19:17:40.614 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User is registered successfully
19:17:49.581 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User is on the home page
19:17:51.422 [TestNG-tests-1] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
19:58:36.151 [main] INFO  com.petstore.stepDefinitions.PetDetails - User is on the home page
19:58:37.846 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
19:58:44.268 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enters personal details {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, and {string}
19:58:48.780 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enters profile details {string}, {string}, {string}, and {string}
19:58:52.732 [main] INFO  com.petstore.stepDefinitions.PetDetails - User is registered successfully
19:59:02.964 [main] INFO  com.petstore.stepDefinitions.PetDetails - User is on the home page
19:59:04.669 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
20:00:08.266 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enter the home page
20:00:09.908 [main] INFO  com.petstore.stepDefinitions.PetDetails - I verify the page title
20:00:30.346 [main] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
20:00:32.521 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
20:00:38.808 [main] INFO  com.petstore.stepDefinitions.PetDetails - Validate user login successfully
20:00:49.749 [main] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
20:00:51.217 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
20:00:55.440 [main] INFO  com.petstore.stepDefinitions.PetDetails - Validate user login successfully
20:01:06.723 [main] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
20:01:08.211 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
20:01:12.873 [main] INFO  com.petstore.stepDefinitions.PetDetails - Validate user login successfully
20:01:26.542 [main] INFO  com.petstore.stepDefinitions.PetDetails - The user is on home page
20:01:27.969 [main] INFO  com.petstore.stepDefinitions.PetDetails - Select the pet,Get the pet list and select the pet you like
20:01:34.778 [main] INFO  com.petstore.stepDefinitions.PetDetails - Validating the product title, description, price, images, and availability.
20:01:37.665 [main] INFO  com.petstore.stepDefinitions.PetDetails - Validate pet added products to the cart.
20:01:46.765 [main] INFO  com.petstore.stepDefinitions.PetDetails - User is on the home page
20:01:48.157 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
20:01:51.682 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enters personal details {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, and {string}
20:01:55.460 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enters profile details {string}, {string}, {string}, and {string}
20:02:00.350 [main] INFO  com.petstore.stepDefinitions.PetDetails - User is registered successfully
20:02:09.238 [main] INFO  com.petstore.stepDefinitions.PetDetails - User is on the home page
20:02:10.622 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
20:02:13.926 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enters personal details {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, and {string}
20:02:17.746 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enters profile details {string}, {string}, {string}, and {string}
20:02:22.256 [main] INFO  com.petstore.stepDefinitions.PetDetails - User is registered successfully
20:02:34.646 [main] INFO  com.petstore.stepDefinitions.PetDetails - User is on the home page
20:02:36.091 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
20:02:39.646 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enters personal details {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, and {string}
20:02:43.683 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enters profile details {string}, {string}, {string}, and {string}
20:02:50.212 [main] INFO  com.petstore.stepDefinitions.PetDetails - User is registered successfully
20:02:59.378 [main] INFO  com.petstore.stepDefinitions.PetDetails - User is on the home page
20:03:00.837 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
20:03:04.500 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enters personal details {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, and {string}
20:03:08.495 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enters profile details {string}, {string}, {string}, and {string}
20:03:13.315 [main] INFO  com.petstore.stepDefinitions.PetDetails - User is registered successfully
20:03:22.706 [main] INFO  com.petstore.stepDefinitions.PetDetails - User is on the home page
20:03:24.107 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
20:03:27.667 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enters personal details {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, and {string}
20:03:31.503 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enters profile details {string}, {string}, {string}, and {string}
20:03:35.075 [main] INFO  com.petstore.stepDefinitions.PetDetails - User is registered successfully
20:03:46.684 [main] INFO  com.petstore.stepDefinitions.PetDetails - the user is on home page
20:03:48.794 [main] INFO  com.petstore.stepDefinitions.PetDetails - user search for a {string}, get the pet list and select a pet
20:03:51.944 [main] INFO  com.petstore.stepDefinitions.PetDetails - user validate the price of the pet
20:04:04.855 [main] INFO  com.petstore.stepDefinitions.PetDetails - the user is on home page
20:04:06.240 [main] INFO  com.petstore.stepDefinitions.PetDetails - user search for a {string}, get the pet list and select a pet
20:04:09.385 [main] INFO  com.petstore.stepDefinitions.PetDetails - user validate the price of the pet
20:04:21.594 [main] INFO  com.petstore.stepDefinitions.PetDetails - the user is on home page
20:04:23.006 [main] INFO  com.petstore.stepDefinitions.PetDetails - user search for a {string}, get the pet list and select a pet
20:04:26.246 [main] INFO  com.petstore.stepDefinitions.PetDetails - user validate the price of the pet
20:04:41.710 [main] INFO  com.petstore.stepDefinitions.PetDetails - the user is on home page
20:04:43.107 [main] INFO  com.petstore.stepDefinitions.PetDetails - user search for a {string}, get the pet list and select a pet
20:04:46.228 [main] INFO  com.petstore.stepDefinitions.PetDetails - user validate the price of the pet
20:04:57.980 [main] INFO  com.petstore.stepDefinitions.PetDetails - the user is on home page
20:04:59.413 [main] INFO  com.petstore.stepDefinitions.PetDetails - user search for a {string}, get the pet list and select a pet
20:05:02.583 [main] INFO  com.petstore.stepDefinitions.PetDetails - user validate the price of the pet
20:05:13.863 [main] INFO  com.petstore.stepDefinitions.PetDetails - the user is on home page to buy pet
20:05:15.844 [main] INFO  com.petstore.stepDefinitions.PetDetails - Open pet list
20:05:17.730 [main] INFO  com.petstore.stepDefinitions.PetDetails - add pets to cart
20:05:37.322 [main] INFO  com.petstore.stepDefinitions.PetDetails - remove and update quantities
20:05:41.437 [main] INFO  com.petstore.stepDefinitions.PetDetails - validate proceeding to checkout
20:05:55.131 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enter the home page
20:05:56.740 [main] INFO  com.petstore.stepDefinitions.PetDetails - I verify the page title
20:06:09.571 [main] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
20:06:10.992 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
20:06:14.919 [main] INFO  com.petstore.stepDefinitions.PetDetails - Validate user login successfully
20:06:27.791 [main] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
20:06:29.238 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
20:06:33.241 [main] INFO  com.petstore.stepDefinitions.PetDetails - Validate user login successfully
20:06:45.864 [main] INFO  com.petstore.stepDefinitions.PetDetails - The user is on the home page
20:06:47.297 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
20:06:51.101 [main] INFO  com.petstore.stepDefinitions.PetDetails - Validate user login successfully
20:07:05.174 [main] INFO  com.petstore.stepDefinitions.PetDetails - The user is on home page
20:07:06.610 [main] INFO  com.petstore.stepDefinitions.PetDetails - Select the pet,Get the pet list and select the pet you like
20:07:10.091 [main] INFO  com.petstore.stepDefinitions.PetDetails - Validating the product title, description, price, images, and availability.
20:07:14.057 [main] INFO  com.petstore.stepDefinitions.PetDetails - Validate pet added products to the cart.
20:07:27.039 [main] INFO  com.petstore.stepDefinitions.PetDetails - User is on the home page
20:07:28.623 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
20:07:32.800 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enters personal details {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, and {string}
20:07:36.773 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enters profile details {string}, {string}, {string}, and {string}
20:07:40.704 [main] INFO  com.petstore.stepDefinitions.PetDetails - User is registered successfully
20:07:52.363 [main] INFO  com.petstore.stepDefinitions.PetDetails - User is on the home page
20:07:53.846 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enter the login credentials {string} and {string}
20:07:58.332 [main] INFO  com.petstore.stepDefinitions.PetDetails - User enters personal details {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, {string}, and {string}
